,dtype,n_null,n_zero,n_unique,sample_values,describe
기준년월,int64,0,0,6,[201807 201808 201809 201810 201811],"count    2.400000e+06
mean     2.018095e+05
std      1.707825e+00
min      2.018070e+05
25%      2.018080e+05
50%      2.018095e+05
75%      2.018110e+05
max      2.018120e+05
Name: 기준년월, dtype: float64"
ID,object,0,,400000,"['TRAIN_000000' 'TRAIN_000001' 'TRAIN_000002' 'TRAIN_000003'
 'TRAIN_000004']",
남녀구분코드,int64,0,0,2,[2 1],"count    2.400000e+06
mean     1.476955e+00
std      4.994687e-01
min      1.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      2.000000e+00
max      2.000000e+00
Name: 남녀구분코드, dtype: float64"
연령,object,0,,6,['40대' '30대' '20대' '60대' '50대'],
Segment,object,0,,5,['D' 'E' 'C' 'A' 'B'],
회원여부_이용가능,int64,0,113820,2,[1 0],"count    2.400000e+06
mean     9.525750e-01
std      2.125462e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 회원여부_이용가능, dtype: float64"
회원여부_이용가능_CA,int64,0,287757,2,[1 0],"count    2.400000e+06
mean     8.801012e-01
std      3.248432e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 회원여부_이용가능_CA, dtype: float64"
회원여부_이용가능_카드론,int64,0,908852,2,[0 1],"count    2.400000e+06
mean     6.213117e-01
std      4.850604e-01
min      0.000000e+00
25%      0.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 회원여부_이용가능_카드론, dtype: float64"
소지여부_신용,int64,0,41887,2,[1 0],"count    2.400000e+06
mean     9.825471e-01
std      1.309516e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 소지여부_신용, dtype: float64"
소지카드수_유효_신용,int64,0,41882,5,[1 2 3 0 4],"count    2.400000e+06
mean     1.246258e+00
std      5.667437e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      4.000000e+00
Name: 소지카드수_유효_신용, dtype: float64"
소지카드수_이용가능_신용,int64,0,205225,4,[1 2 3 0],"count    2.400000e+06
mean     1.153016e+00
std      6.202812e-01
min      0.000000e+00
25%      1.000000e+00
50%      1.000000e+00
75%      1.000000e+00
max      3.000000e+00
Name: 소지카드수_이용가능_신용, dtype: float64"
입회일자_신용,int64,0,0,325,[20130101 20170801 20080401 20160501 20180601],"count    2.400000e+06
mean     2.012258e+07
std      6.046405e+04
min      1.990110e+07
25%      2.010030e+07
50%      2.014070e+07
75%      2.017060e+07
max      2.018060e+07
Name: 입회일자_신용, dtype: float64"
입회경과개월수_신용,int64,0,0,335,[ 67  12 124  27   2],"count    2.400000e+06
mean     7.360273e+01
std      7.241042e+01
min      2.000000e+00
25%      1.700000e+01
50%      5.100000e+01
75%      1.040000e+02
max      3.370000e+02
Name: 입회경과개월수_신용, dtype: float64"
회원여부_연체,int64,0,2359008,2,[0 1],"count    2.400000e+06
mean     1.708000e-02
std      1.295696e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.000000e+00
Name: 회원여부_연체, dtype: float64"
이용거절여부_카드론,int64,0,1925770,2,[0 1],"count    2.400000e+06
mean     1.975958e-01
std      3.981856e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.000000e+00
Name: 이용거절여부_카드론, dtype: float64"
동의여부_한도증액안내,int64,0,2163506,2,[1 0],"count    2.400000e+06
mean     9.853917e-02
std      2.980423e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      0.000000e+00
max      1.000000e+00
Name: 동의여부_한도증액안내, dtype: float64"
수신거부여부_TM,int64,0,1545358,2,[0 1],"count    2.400000e+06
mean     3.561008e-01
std      4.788456e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 수신거부여부_TM, dtype: float64"
수신거부여부_DM,int64,0,1646080,2,[0 1],"count    2.400000e+06
mean     3.141333e-01
std      4.641699e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 수신거부여부_DM, dtype: float64"
수신거부여부_메일,int64,0,1632571,2,[0 1],"count    2.400000e+06
mean     3.197621e-01
std      4.663844e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 수신거부여부_메일, dtype: float64"
수신거부여부_SMS,int64,0,1513438,2,[0 1],"count    2.400000e+06
mean     3.694008e-01
std      4.826427e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      1.000000e+00
Name: 수신거부여부_SMS, dtype: float64"
가입통신회사코드,object,387570,,3,['L사' 'K사' 'S사' None],
탈회횟수_누적,int64,0,1403785,3,[1 0 2],"count    2.400000e+06
mean     5.137263e-01
std      6.686442e-01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      1.000000e+00
max      2.000000e+00
Name: 탈회횟수_누적, dtype: float64"
최종탈회후경과월,int64,0,1411713,71,[ 61  98  60 100 101],"count    2.400000e+06
mean     2.725991e+01
std      3.830249e+01
min      0.000000e+00
25%      0.000000e+00
50%      0.000000e+00
75%      4.800000e+01
max      1.170000e+02
Name: 최종탈회후경과월, dtype: float64"
