col,zero_count
기준년월,0
남녀구분코드,0
회원여부_이용가능,113820
회원여부_이용가능_CA,287757
회원여부_이용가능_카드론,908852
소지여부_신용,41887
소지카드수_유효_신용,41882
소지카드수_이용가능_신용,205225
입회일자_신용,0
입회경과개월수_신용,0
회원여부_연체,2359008
이용거절여부_카드론,1925770
동의여부_한도증액안내,2163506
수신거부여부_TM,1545358
수신거부여부_DM,1646080
수신거부여부_메일,1632571
수신거부여부_SMS,1513438
탈회횟수_누적,1403785
최종탈회후경과월,1411713
탈회횟수_발급6개월이내,2302195
탈회횟수_발급1년이내,2245718
마케팅동의여부,455983
유효카드수_신용체크,29233
유효카드수_신용,41303
유효카드수_신용_가족,2331548
유효카드수_체크,1436752
유효카드수_체크_가족,2399964
이용가능카드수_신용체크,111452
이용가능카드수_신용,188157
이용가능카드수_신용_가족,2331859
이용가능카드수_체크,1439532
이용가능카드수_체크_가족,2399983
이용카드수_신용체크,433328
이용카드수_신용,492003
이용카드수_신용_가족,2336994
이용카드수_체크,2022815
이용카드수_체크_가족,2400000
이용금액_R3M_신용체크,442011
이용금액_R3M_신용,490631
이용금액_R3M_신용_가족,2335856
이용금액_R3M_체크,2020979
이용금액_R3M_체크_가족,2400000
_1순위카드이용금액,491101
_1순위카드이용건수,65256
_2순위카드이용금액,1711749
_2순위카드이용건수,1713170
최종유효년월_신용_이용가능,0
최종유효년월_신용_이용,0
최종카드발급일자,0
보유여부_해외겸용_본인,523098
이용가능여부_해외겸용_본인,590609
이용여부_3M_해외겸용_본인,947040
보유여부_해외겸용_신용_본인,761693
이용가능여부_해외겸용_신용_본인,873884
이용여부_3M_해외겸용_신용_본인,1076484
연회비할인카드수_B0M,2400000
기본연회비_B0M,2396961
제휴연회비_B0M,2399128
할인금액_기본연회비_B0M,2400000
할인금액_제휴연회비_B0M,2400000
청구금액_기본연회비_B0M,2396961
청구금액_제휴연회비_B0M,2399128
카드신청건수,2189218
최종카드발급경과월,78140
